# BBs MUST be in increasing order
# Big Blind ($USD), Rake (more is better), 2 Player Cap, 3-4 Player Cap, 5+ Player Cap
0.02, 3.50, 0.30, 0.30, 0.30
0.05, 4.15, 0.50, 0.50, 1.00
0.10, 4.50, 0.50, 1.00, 1.50
0.25, 4.50, 0.50, 1.00, 2.00
0.50, 5.00, 0.75, 0.75, 2.00
1, 5.00, 1.00, 1.00, 2.50
2, 5.0, 1.25, 1.25, 2.75
4, 5.0, 1.50, 1.50, 3.00
5, 5.0, 1.50, 1.50, 3.00
6, 5.0, 1.50, 1.50, 3.50
10, 4.5, 1.50, 1.50, 3.00
20, 4.5, 1.75, 1.75, 3.00
50, 4.5, 2.25, 2.00, 3.00
100, 4.5, 2.50, 3.00, 5.00
200, 4.5, 3.00, 5.00, 5.00
